source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
AHRS3,,0.8299482464790344,0.3197336196899414,-0.024413451552391052,704.0,48.559923399999995,35.0984276,,,,
GLOBAL_POSITION_INT,807.556,,,,,48.5599448,35.0984294,647.118,,,
GPS_RAW_INT,807.5559999999999,0.0,,,,48.5599237,35.0984251,,,,
GPS2_RAW,807.5559999999999,0.0,,,,48.5599237,35.0984251,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-433.0
ATTITUDE,807.672,0.8106396794319153,0.32810187339782715,-0.053917206823825836,,,,,,,
AHRS2,,0.8880008459091187,0.33217108249664307,-0.054381631314754486,0.0,0.0,0.0,,,,
AHRS3,,0.8095804452896118,0.32743018865585327,-0.053471460938453674,705.0,48.559959799999994,35.098430799999996,,,,
GPS_RAW_INT,807.755,0.0,,,,48.5599454,35.098427,,,,
GPS2_RAW,807.756,0.0,,,,48.5599454,35.098427,,,,
GLOBAL_POSITION_INT,807.755,,,,,48.5599749,35.0984321,648.195,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-434.0
ATTITUDE,807.9730000000001,0.8025721907615662,0.32907140254974365,-0.062427811324596405,,,,,,,
AHRS2,,0.8828850984573364,0.33383709192276,-0.06513981521129608,0.0,0.0,0.0,,,,
AHRS3,,0.8025721907615662,0.32907140254974365,-0.062427811324596405,706.0,48.559990299999996,35.0984335,,,,
GPS_RAW_INT,807.972,0.0,,,,48.559967099999994,35.0984289,,,,
GPS2_RAW,807.973,0.0,,,,48.559967099999994,35.0984289,,,,
GLOBAL_POSITION_INT,807.972,,,,,48.560003099999996,35.098434499999996,649.221,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-435.0
ATTITUDE,808.254,0.8081979155540466,0.33627158403396606,-0.060211438685655594,,,,,,,
AHRS2,,0.8900318145751953,0.3428495228290558,-0.06261130422353745,0.0,0.0,0.0,,,,
AHRS3,,0.8081979155540466,0.33627158403396606,-0.060211438685655594,707.0,48.560020099999996,35.0984359,,,,
GPS_RAW_INT,808.1719999999999,0.0,,,,48.5599887,35.0984307,,,,
GPS2_RAW,808.1719999999999,0.0,,,,48.5599887,35.0984307,,,,
GLOBAL_POSITION_INT,808.355,,,,,48.5600308,35.0984368,650.231,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-435.0
ATTITUDE,808.511,0.8164960145950317,0.3417269289493561,-0.04938868433237076,,,,,,,
AHRS2,,0.8989557027816772,0.3490884006023407,-0.04961036890745163,0.0,0.0,0.0,,,,
AHRS3,,0.8164960145950317,0.3417269289493561,-0.04938868433237076,708.0,48.5600482,35.098438099999996,,,,
GPS_RAW_INT,808.555,0.0,,,,48.560032,35.0984341,,,,
GPS2_RAW,808.5559999999999,0.0,,,,48.560032,35.0984341,,,,
GLOBAL_POSITION_INT,808.5550000000001,,,,,48.560058999999995,35.0984389,651.256,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-435.0
GPS_RAW_INT,808.756,0.0,,,,48.560053599999996,35.0984355,,,,
GPS2_RAW,808.756,0.0,,,,48.560053599999996,35.0984355,,,,
ATTITUDE,808.811,0.8246116042137146,0.3248242139816284,-0.05273830518126488,,,,,,,
AHRS2,,0.9076077938079834,0.3324720859527588,-0.051632147282361984,0.0,0.0,0.0,,,,
AHRS3,,0.8246116042137146,0.3248242139816284,-0.05273830518126488,709.0,48.560080299999996,35.0984404,,,,
GLOBAL_POSITION_INT,808.756,,,,,48.560089,35.0984409,652.39,,,
GPS_RAW_INT,808.954,0.0,,,,48.5600751,35.0984368,,,,
GPS2_RAW,808.9549999999999,0.0,,,,48.5600751,35.0984368,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-434.0
ATTITUDE,809.091,0.8368512392044067,0.31540462374687195,-0.020171193405985832,,,,,,,
AHRS2,,0.9216868281364441,0.3228416442871094,-0.01887812837958336,0.0,0.0,0.0,,,,
AHRS3,,0.8368512392044067,0.31540462374687195,-0.020171193405985832,710.0,48.5601104,35.098442399999996,,,,
GLOBAL_POSITION_INT,809.172,,,,,48.560119099999994,35.0984431,653.505,,,
GPS_RAW_INT,809.1719999999999,0.0,,,,48.560096599999994,35.0984382,,,,
GPS2_RAW,809.173,0.0,,,,48.560096599999994,35.0984382,,,,
ATTITUDE,809.356,0.8267868161201477,0.3214145302772522,-0.05804566293954849,,,,,,,
AHRS2,,0.911895751953125,0.32560884952545166,-0.054974015802145004,0.0,0.0,0.0,,,,
AHRS3,,0.8267868161201477,0.3214145302772522,-0.05804566293954849,711.0,48.5601383,35.0984449,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-434.0
GLOBAL_POSITION_INT,809.354,,,,,48.560147,35.0984457,654.463,,,
GPS_RAW_INT,809.555,0.0,,,,48.5601395,35.0984419,,,,
GPS2_RAW,809.555,0.0,,,,48.5601395,35.0984419,,,,
ATTITUDE,809.654,0.8041922450065613,0.32934942841529846,-0.0947541743516922,,,,,,,
AHRS2,,0.8897675275802612,0.3349505662918091,-0.09385620802640915,0.0,0.0,0.0,,,,
AHRS3,,0.8041922450065613,0.32934942841529846,-0.0947541743516922,713.0,48.5601705,35.098448,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-436.0
GLOBAL_POSITION_INT,809.5550000000001,,,,,48.560176899999995,35.0984486,655.431,,,
GPS_RAW_INT,809.755,0.0,,,,48.5601609,35.0984439,,,,
GPS2_RAW,809.756,0.0,,,,48.5601609,35.0984439,,,,
ATTITUDE,809.975,0.7805817723274231,0.30216094851493835,-0.031417958438396454,,,,,,,
AHRS2,,0.8704572916030884,0.30967700481414795,-0.03294265270233154,0.0,0.0,0.0,,,,
AHRS3,,0.7805817723274231,0.30216094851493835,-0.031417958438396454,714.0,48.5602051,35.098451,,,,
GLOBAL_POSITION_INT,809.955,,,,,48.5602051,35.098451,656.361,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-437.0
GPS_RAW_INT,809.9549999999999,0.0,,,,48.560182399999995,35.0984458,,,,
GPS2_RAW,809.9549999999999,0.0,,,,48.560182399999995,35.0984458,,,,
ATTITUDE,810.211,0.7740312814712524,0.2894003689289093,-0.045546747744083405,,,,,,,
AHRS2,,0.8642914891242981,0.29713085293769836,-0.04706938937306404,0.0,0.0,0.0,,,,
AHRS3,,0.7740312814712524,0.2894003689289093,-0.045546747744083405,715.0,48.560231099999996,35.0984534,,,,
GLOBAL_POSITION_INT,810.155,,,,,48.5602334,35.0984537,657.302,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-439.0
GPS_RAW_INT,810.155,0.0,,,,48.560204,35.0984477,,,,
GPS2_RAW,810.155,0.0,,,,48.560204,35.0984477,,,,
ATTITUDE,810.511,0.7833042740821838,0.30232521891593933,-0.04780963435769081,,,,,,,
